iter	Passed	Remaining
0	139	27785
1	140	13906
2	141	9267
3	141	6948
4	142	5557
5	143	4626
6	143	3962
7	144	3465
8	145	3079
9	145	2768
10	146	2516
11	147	2307
12	148	2129
13	148	1976
14	149	1843
15	150	1726
16	150	1623
17	151	1532
18	152	1450
19	152	1376
20	153	1309
21	154	1247
22	154	1191
23	155	1140
24	156	1093
25	156	1049
26	157	1009
27	158	971
28	158	936
29	159	904
30	160	873
31	160	844
32	161	816
33	162	791
34	162	767
35	163	744
36	164	723
37	164	702
38	165	683
39	166	665
40	166	647
41	167	630
42	168	614
43	169	599
44	169	584
45	170	570
46	171	557
47	171	543
48	172	531
49	173	519
50	173	507
51	174	496
52	175	485
53	175	475
54	176	464
55	177	455
56	178	446
57	178	437
58	179	428
59	180	420
60	180	412
61	181	404
62	182	396
63	182	388
64	183	381
65	184	374
66	184	366
67	185	360
68	186	353
69	186	346
70	187	340
71	187	334
72	188	328
73	189	322
74	189	316
75	190	310
76	191	305
77	191	299
78	192	294
79	193	289
80	193	284
81	194	280
82	195	275
83	196	270
84	196	266
85	197	261
86	197	257
87	198	252
88	199	248
89	200	244
90	200	240
91	201	236
92	202	232
93	202	228
94	203	224
95	203	220
96	204	217
97	205	213
98	205	210
99	206	206
100	207	203
101	207	199
102	208	196
103	209	193
104	210	190
105	210	186
106	211	183
107	212	180
108	212	177
109	213	174
110	214	171
111	214	168
112	215	165
113	216	163
114	216	160
115	217	157
116	218	154
117	218	152
118	219	149
119	220	146
120	220	144
121	221	141
122	222	139
123	223	136
124	224	134
125	225	132
126	226	130
127	227	127
128	228	125
129	228	123
130	229	120
131	230	118
132	231	116
133	231	114
134	232	111
135	233	109
136	233	107
137	234	105
138	235	103
139	236	101
140	236	99
141	237	97
142	238	95
143	239	93
144	240	91
145	240	89
146	241	87
147	242	85
148	243	83
149	244	81
150	244	79
151	245	77
152	246	75
153	247	73
154	248	72
155	248	70
156	249	68
157	250	66
158	251	64
159	251	62
160	252	61
161	253	59
162	254	57
163	255	56
164	255	54
165	256	52
166	257	50
167	258	49
168	258	47
169	259	45
170	260	44
171	261	42
172	261	40
173	262	39
174	263	37
175	264	36
176	264	34
177	265	32
178	266	31
179	267	29
180	267	28
181	268	26
182	269	25
183	270	23
184	270	21
185	271	20
186	272	18
187	273	17
188	273	15
189	274	14
190	275	12
191	275	11
192	276	10
193	277	8
194	277	7
195	278	5
196	279	4
197	280	2
198	280	1
199	281	0
